Date, Close
2017-09-03,4631.69
2017-09-04,4319.72
2017-09-05,4422.12
2017-09-06,4626.72
2017-09-07,4638.1
2017-09-08,4317.54
2017-09-09,4291.88
2017-09-10,4191.17
2017-09-11,4188.84
2017-09-12,4148.27
2017-09-13,3874.26
2017-09-14,3226.41
2017-09-15,3686.9
2017-09-16,3678.74
2017-09-17,3672.57
2017-09-18,4067.08
2017-09-19,3897
2017-09-20,3858.09
2017-09-21,3612.68
2017-09-22,3603.31
2017-09-23,3777.29
2017-09-24,3662.12
2017-09-25,3927.5
2017-09-26,3895.51
2017-09-27,4208.56
2017-09-28,4185.29
2017-09-29,4164.1
2017-09-30,4353.05
2017-10-01,4394.64
2017-10-02,4404.1
2017-10-03,4320.09
2017-10-04,4225.92
2017-10-05,4322.75
2017-10-06,4370.24
2017-10-07,4437.03
2017-10-08,4596.96
2017-10-09,4772.97
2017-10-10,4754.7
2017-10-11,4830.77
2017-10-12,5439.13
2017-10-13,5640.13
2017-10-14,5809.69
2017-10-15,5697.39
2017-10-16,5754.22
2017-10-17,5595.23
2017-10-18,5572.2
2017-10-19,5699.58
2017-10-20,5984.09
2017-10-21,6013.23
2017-10-22,5984.96
2017-10-23,5895.3
2017-10-24,5518.85
2017-10-25,5733.9
2017-10-26,5888.14
2017-10-27,5767.68
2017-10-28,5732.82
2017-10-29,6140.53
2017-10-30,6121.8
2017-10-31,6447.67
2017-11-01,6750.17
2017-11-02,7030
2017-11-03,7161.45
2017-11-04,7387
2017-11-05,7382.45
2017-11-06,6958.21
2017-11-07,7118.8
2017-11-08,7458.79
2017-11-09,7146.78
2017-11-10,6570.31
2017-11-11,6337
2017-11-12,5857.32
2017-11-13,6517.68
2017-11-14,6598.77
2017-11-15,7279
2017-11-16,7843.94
2017-11-17,7689.91
2017-11-18,7776.94
2017-11-19,8033.94
2017-11-20,8238.2
2017-11-21,8095.59
2017-11-22,8230.69
2017-11-23,8002.64
2017-11-24,8201.46
2017-11-25,8763.78
2017-11-26,9326.59
2017-11-27,9739.05
2017-11-28,9908.23
2017-11-29,9816.35
2017-11-30,9916.54
2017-12-01,10859.56
2017-12-02,10895.01
2017-12-03,11826.23
